cluster,Planck_mass,CNN_mass,err+,err-,redshift
PSZ2G263.03-56.19.fits,14.672424299376598,14.729579999999999,0.06341553,0.05576992,0.3919999897480011
PSZ2G263.14-23.41.fits,14.834164932318295,15.007608,0.059586525,0.07248306,0.2266000062227249
PSZ2G263.19-25.19.fits,14.506788867901369,14.476294000000001,0.11292362,0.10611915599999999,0.050599999725818634
PSZ2G263.24-33.18.fits,14.603563328469054,14.684723000000002,0.06848717,0.058751106,0.30000001192092896
PSZ2G263.68-22.55.fits,14.901134409978088,14.866823000000002,0.065366745,0.05381775,0.1643999963998795
PSZ2G264.40+19.49.fits,14.760039363222006,14.770678,0.06585789,0.05654812,0.239999994635582
PSZ2G264.60-51.07.fits,14.84069706416983,14.924873000000002,0.06382465,0.055360794000000005,0.4399999976158142
PSZ2G264.92+44.70.fits,14.784190847103071,14.910831,0.06427859999999999,0.05329609,0.4659999907016754
PSZ2G265.02-48.96.fits,14.625786607482643,14.789576,0.06703949,0.055366516,0.059000000357627876
PSZ2G265.10-59.50.fits,14.78817301608774,14.888857000000002,0.064852715,0.052721977,0.5001000165939331
PSZ2G265.21-24.83.fits,14.26404715249159,14.018042000000001,-0.026427269,0.069913864,0.05400000140070915
PSZ2G265.49-30.50.fits,14.614781078565295,14.804735,0.06770325,0.056313515,0.4230000078678131
PSZ2G265.86-19.93.fits,14.666632743773874,14.93721,0.06488705,0.05751896,0.2960000038146973
PSZ2G266.04-21.25.fits,15.11728281653728,15.153875,0.056067467,0.06795025,0.2964999973773956
PSZ2G266.54-27.31.fits,14.830827318684713,14.852537,0.06557655,0.053608894000000004,0.972000002861023
PSZ2G266.83+25.08.fits,14.867331461892016,14.917307000000001,0.06431103,0.054873465999999996,0.2542000114917755
PSZ2G266.84-14.42.fits,14.32747347534922,14.330592999999999,0.08157635,0.07787418,0.07400000095367433
PSZ2G268.30+28.89.fits,14.452233444681056,14.628342000000002,0.08297253,0.076478004,0.1230000033974648
PSZ2G268.34-43.64.fits,14.643044813971214,14.689333,0.06826496,0.057362555999999995,0.3400000035762787
PSZ2G268.51-28.14.fits,14.608413083639046,14.741670999999998,0.06423187,0.05656433,0.4600000083446503
PSZ2G269.02+22.27.fits,14.70616567166882,14.728746,0.06419277,0.054992676,0.3574999868869781
PSZ2G269.03+44.22.fits,14.624428266329579,14.610189000000002,0.080926895,0.08174515,0.19120000302791604
PSZ2G269.31-49.87.fits,14.513510821159755,14.536620999999998,0.075003624,0.08605671,0.08529999852180481
PSZ2G269.36-47.20.fits,14.18591314460494,14.296664999999999,0.0830822,0.079589844,0.05700000002980232
PSZ2G269.82-64.35.fits,14.357193734629767,14.547165,0.07427311,0.08517742,0.1150000020861626
PSZ2G270.37+69.42.fits,14.657616357605155,14.716651999999998,0.064982414,0.055812836,0.2917760014533997
PSZ2G270.63-35.67.fits,14.727797649034706,14.693548000000002,0.06603813,0.056367874000000005,0.3129999935626984
PSZ2G270.93-58.78.fits,14.774580709271625,14.802513000000001,0.06709194,0.055314064,0.2779999971389771
PSZ2G270.95-31.78.fits,14.370547654847348,14.631403,0.08281326,0.07663727,0.1400000005960464
PSZ2G271.18-30.95.fits,14.867656909634075,14.817223,0.06730652,0.05510044,0.3700000047683716
PSZ2G271.28-36.11.fits,14.5806174355393,14.685401999999998,0.06916618,0.05807209,0.25
PSZ2G271.53-56.57.fits,14.830924985968911,14.884291000000001,0.065117836,0.05406761,0.30000001192092896
PSZ2G271.60-12.50.fits,14.544904051186744,14.435360000000001,0.10903454,0.09390259,0.06199999898672104
PSZ2G272.08-29.06.fits,14.346732009051342,14.236839000000002,0.08123779,0.07015896,0.09773699939250946
PSZ2G272.08-40.16.fits,14.821971417507275,14.867338,0.06588173,0.053302765,0.058899998664855964
PSZ2G272.11-11.50.fits,14.394743679907565,14.370910999999998,0.083239555,0.07782173,0.061000000685453415
PSZ2G272.16+33.47.fits,14.582688857200827,14.629048999999998,0.0820694,0.077381134,0.1415999978780746
PSZ2G272.85+48.79.fits,14.760021262659375,14.854052,0.06548023,0.05370426,0.4199999868869781
PSZ2G272.88+19.14.fits,13.917107126448927,14.238148,0.08093643,0.07046127,0.01105399988591671
PSZ2G273.54-30.28.fits,14.750961736967087,14.754805,0.06448078,0.056315422000000004,0.3453699946403503
PSZ2G273.59+63.27.fits,14.743358830597618,14.864187,0.0659523,0.053233147,0.1339000016450882
PSZ2G273.69-68.38.fits,14.557499731767631,14.692564,0.066664696,0.05735206599999999,0.3199999928474426
PSZ2G274.73-32.20.fits,14.526528867976351,14.74094,0.06350136,0.05568409,0.2000000029802322
PSZ2G275.64-49.09.fits,14.646615420205007,14.75325,0.06453705,0.056259155,0.4690000116825104
PSZ2G276.09-41.53.fits,14.459095038116605,14.572583999999999,0.07553387,0.083916664,0.1400000005960464
PSZ2G276.75-59.82.fits,14.651565162695595,14.705297,0.06490230599999999,0.05589294400000001,0.3431999981403351
PSZ2G277.38+47.07.fits,14.448352238323608,14.612214999999999,0.08134174,0.0813303,0.11949999630451198
PSZ2G277.76-51.74.fits,14.986440643444636,15.014513,0.056827545,0.07363129,0.4379999935626984
PSZ2G278.33-41.53.fits,14.526349525647055,14.650768,0.0796299,0.068546295,0.119999997317791
PSZ2G278.58+39.16.fits,14.952856770769275,14.980963000000001,0.063542366,0.066916466,0.3075000047683716
PSZ2G279.02+81.24.fits,14.52953034543014,14.571678,0.07462788,0.08321189999999999,0.1800000071525574
PSZ2G279.51-44.85.fits,14.229938436447913,14.290464000000002,0.08332348,0.07773781,0.07855799794197083
PSZ2G279.79+39.09.fits,14.7866547961656,14.774269,0.06622887,0.056178093,0.2899999916553497
PSZ2G280.17+47.83.fits,14.782135681334756,14.817739499999998,0.06782341,0.05458355,0.1556999981403351
PSZ2G280.21+14.57.fits,14.250397104548304,14.258007000000001,0.083078384,0.07476139,0.05798700079321861
PSZ2G280.23-53.84.fits,14.68053926416521,14.810225,0.06836128,0.05565548,0.4149999916553497
PSZ2G280.76-52.30.fits,14.688124589385906,14.757323999999999,0.06538963,0.055405617000000004,0.5899999737739563
PSZ2G281.09-42.51.fits,14.650979716316767,14.714217999999999,0.06415939,0.055026054000000005,0.3799999952316284
PSZ2G281.26-46.90.fits,14.639002759378798,14.734478,0.06348133,0.055704117000000004,0.2840000092983246
PSZ2G282.12+54.04.fits,14.667849098026993,14.751997,0.064894676,0.055901527,0.126800000667572
PSZ2G282.14+38.29.fits,14.685203694644462,14.773216,0.06517601,0.055620193,0.3269999921321869
PSZ2G282.28+49.94.fits,14.892206187409974,14.895771,0.06371307400000001,0.053861618,0.6600000262260437
PSZ2G282.67+20.83.fits,14.648140982571617,14.744501000000001,0.063840866,0.05534458,0.1306000053882599
PSZ2G283.16-22.91.fits,14.82939902274853,14.931308999999999,0.065428734,0.05536747,0.44999998807907104
PSZ2G283.26+77.37.fits,14.722845604038346,14.692181,0.06628132,0.05612564,0.281640499830246
PSZ2G283.91+73.87.fits,14.475393783628553,14.716157999999998,0.06448841,0.054696083,0.0851999968290329
PSZ2G284.41+52.45.fits,15.048291567452454,15.146929,0.055562972999999995,0.06684399,0.4413999915122986
PSZ2G284.59+70.84.fits,14.34252819803585,14.253162,0.08306599,0.07316303,0.08959999680519104
PSZ2G284.97-23.69.fits,14.92389253038646,14.945248000000001,0.06487179,0.057534218,0.3899999856948853
PSZ2G285.52-62.23.fits,14.560570352396988,14.692121499999999,0.06622219,0.05618477,0.1168000027537346
PSZ2G285.63+72.75.fits,14.748733242506152,14.624893,0.08274555,0.078315735,0.1650000065565109
PSZ2G285.63-17.23.fits,14.822290403591955,14.760182999999998,0.06502724,0.055768013,0.3499999940395355
PSZ2G285.87-74.93.fits,14.652822000862914,14.792572,0.06681442,0.055591583,0.2129999995231628
PSZ2G286.28-38.36.fits,14.773796001592054,14.751204000000001,0.06410122,0.056694984000000004,0.3070000112056732
PSZ2G286.39+64.06.fits,14.612575648276556,14.7717,0.06526947,0.05552578,0.2289861291646957
PSZ2G286.62-31.24.fits,14.754642447994328,14.883272,0.06409931,0.05347538,0.2099999934434891
PSZ2G286.68+23.18.fits,14.702703236323874,14.807742999999999,0.06749058,0.05491638,0.30000001192092896
PSZ2G286.75-37.35.fits,14.831578012574562,14.940945000000001,0.06540012,0.057005882,0.4699999988079071
PSZ2G286.98+32.90.fits,15.167098972748835,15.147020000000001,0.055654525999999996,0.066752434,0.3899999856948853
PSZ2G287.00-35.24.fits,14.718197604548632,14.781923,0.06582928,0.05657673,0.4300000071525574
PSZ2G287.05-23.21.fits,14.335768461417015,14.563328,0.07433033,0.083509445,0.1110000014305115
PSZ2G287.22+18.13.fits,14.64762078164938,14.716798999999998,0.063518524,0.05566597,0.1550000011920929
PSZ2G287.25+34.96.fits,14.734126888862312,14.722064999999999,0.0639534,0.055232048,0.3490000069141388
PSZ2G287.46+81.12.fits,14.419710303000025,14.325301999999999,0.08111763,0.0783329,0.0729999989271164
PSZ2G287.54+58.63.fits,14.625945891247255,14.74225,0.06320095,0.055984497,0.3050330877304077
